ID,Tipo,SKU,Nome,Status,Entrada,Saída,Custo compra,Valor venda,Margem de lucro,Quantidade,Tag,Tamanho,Cor,Categoria,
73,regata,BS-CA-VI-73-u,regata detalhe branco,EM ESTOQUE,,,"R$ 15,00","R$ 35,00","133,33%",1,,u,vinho,Casual,
74,blusa,BS-CA-LI-74-m,blusa laço atras,EM ESTOQUE,,,,"R$ 65,00",#DIV/0!,1,,m,lilas,Casual,
75,blusa,BS-CA-VE-75-m,blusa laço atras,EM ESTOQUE,,,,"R$ 65,00",#DIV/0!,1,,m,verde,Casual,
76,conjunto,BS-CA-BE-76-p,conjunto shorts/cropped,EM ESTOQUE,,,"R$ 20,00","R$ 75,00","275,00%",1,,p,bege,Casual,
77,vestido,BS-CA-BE-77-pp,vestido longo,EM ESTOQUE,,,"R$ 60,00","R$ 120,00","100,00%",1,,pp,bege,Casual,
78,shorts,BS-CA-BR-78-44,shorts jeans,EM ESTOQUE,,,,"R$ 48,00",#DIV/0!,1,,44,branco,Casual,
79,vestido,BS-CA-AZ-79-g,vestido longo,VENDIDO,,,"R$ 60,00","R$ 180,00","200,00%",1,,g,azul/branco,Casual,
80,jaqueta ,BS-CA-PR-80-g3,jaqueta jachy preta couro sintetico,EM ESTOQUE,07/06/25,,"R$ 55,00","R$ 145,00","163,64%",1,,g3,preta,Casual,
81,jaqueta ,BS-CA-VE-81-g3,jaqueta jachy verde militar couro sintetico,EM ESTOQUE,07/06/25,,"R$ 55,00","R$ 145,00","163,64%",1,,g3,verde,Casual,
82,shorts,BS-SO-PR-82-g2,shorts alfaitaria,EM ESTOQUE,07/06/25,,"R$ 35,00","R$ 90,00","157,14%",1,,g2,preto,Social,
83,shorts,BS-CA-MA-83-g2,shorts alfaitaria listrado,EM ESTOQUE,07/06/25,,"R$ 35,00","R$ 90,00","157,14%",1,,g2,marrom/branco,Casual,
84,parka,BS-CA-BE-84-g3,parka paly com cinto,EM ESTOQUE,07/06/25,,"R$ 80,00","R$ 182,00","127,50%",1,,g3,bege,Casual,
85,parka ,BS-CA-TE-85-g3,parka paly com cinto,EM ESTOQUE,07/06/25,,"R$ 80,00","R$ 182,00","127,50%",1,,g3,terra cota,Casual,
86,shorts saia,BS-CA-PR-86-g3,shorts saia salma,EM ESTOQUE,07/06/25,,"R$ 50,00","R$ 115,00","130,00%",1,,g3,preto,Casual,
87,shorts saia,BS-CA-PR-87-g2,shorts saia salma,EM ESTOQUE,07/06/25,,"R$ 50,00","R$ 115,00","130,00%",1,,g2,preto,Casual,
88,crooped ,BS-CA-PR-88-g3,cropped mireya,EM ESTOQUE,07/06/25,,"R$ 40,00","R$ 99,00","147,50%",1,,g3,preto,Casual,
89,crooped ,BS-CA-PR-89-g2,cropped mireya,EM ESTOQUE,07/06,,"R$ 40,00","R$ 99,00","147,50%",1,,g2,preto,Casual,
90,jaqueta ,BS-CA-PR-90-m,jaqueta lavinia couro sintetico,EM ESTOQUE,12/06/25,,"R$ 50,00","R$ 129,90","159,80%",2,,m,preto,Casual,
91,cardigã,BS-CA-MA-91-gg,cardigã lanzinha carolina marrom cafe,EM ESTOQUE,12/06/25,,"R$ 28,00","R$ 80,00","185,71%",1,,gg,marrom cafe,Casual,
92,cardigã ,BS-CA-PR-92-gg,cardigã lanzinha carolina preto,EM ESTOQUE,12/06/25,,"R$ 28,00","R$ 80,00","185,71%",1,,gg,preto,Casual,
93,cardigã,BS-CA-PR-93-m,cardigã lanzinha carolina preto,EM ESTOQUE,12/06/25,,"R$ 28,00","R$ 80,00","185,71%",1,,m,preto,Casual,
